,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
163,13196478,"1560 Wagonwheel Gap Road, Boulder, CO 80301",1560 Wagonwheel Gap Road,Boulder,80302,4,2,2106,1499000,40.061935,-105.31689
164,13195586,"6922 Frying Pan Rd, Boulder, CO 80301",6922 Frying Pan Rd,Boulder,80301,6,7,6222,3399000,40.0694,-105.19185
165,13240074,"1150 W Coach Rd, Boulder, CO 80302",1150 W Coach Rd,Boulder,80302,4,5,6082,2497000,40.055107,-105.31083
166,344057544,"424 Morrison Aly 2, Boulder, CO 80302",424 Morrison Aly 2,Boulder,80302,3,3,1980,1345000,40.01621,-105.28997
167,13199786,"7745 Durham Cir, Boulder, CO 80301",7745 Durham Cir,Boulder,80301,3,3,3044,1035000,40.06513,-105.17272
168,13197812,"8495 Arapahoe Rd, Boulder, CO 80303",8495 Arapahoe Rd,Boulder,80303,3,2,2942,2549000,40.01651,-105.15514
169,13238991,"5078 Buckingham Road, Boulder, CO 80301",5078 Buckingham Road,Boulder,80301,2,2,1057,410000,40.066,-105.17982
170,13212328,"7299 Mount Sherman Rd, Longmont, CO 80503",7299 Mount Sherman Rd,Longmont,80503,5,3,4098,1400000,40.07427,-105.18368
171,13225841,"2101 Bison Drive, Boulder, CO 80302",2101 Bison Drive,Boulder,80302,5,4,4640,2900000,39.969204,-105.31508
172,13227606,"5116 Williams Fork Trl UNIT 108, Boulder, CO 80301",5116 Williams Fork Trl UNIT 108,Boulder,80301,1,1,625,285000,40.06568,-105.19923
173,13226605,"3611 Hazelwood Ct, Boulder, CO 80304",3611 Hazelwood Ct,Boulder,80304,2,2,1432,845000,40.04057,-105.25952
174,13230799,"2875 Shadow Creek Dr UNIT 102, Boulder, CO 80303",2875 Shadow Creek Dr UNIT 102,Boulder,80303,2,2,838,555000,40.0107,-105.25672
175,13219206,"3717 Telluride Cir, Boulder, CO 80305",3717 Telluride Cir,Boulder,80305,3,2,1320,900000,39.96664,-105.24959
176,13180171,"2330 14th St, Boulder, CO 80304",2330 14th St,Boulder,80304,1,1,873,875000,40.022083,-105.27837
177,13178868,"1077 Gilbert St, Boulder, CO 80302",1077 Gilbert St,Boulder,80302,5,6,5856,6995000,40.00671,-105.28876
178,13183096,"2670 6th St, Boulder, CO 80304",2670 6th St,Boulder,80304,5,6,4193,6750000,40.02496,-105.28845
179,13222513,"5302 Gallatin Pl, Boulder, CO 80303",5302 Gallatin Pl,Boulder,80303,4,3,3820,1500000,40.00843,-105.22823
180,13249340,"4022 Old Westbury Ct, Boulder, CO 80301",4022 Old Westbury Ct,Boulder,80301,4,3,3814,1280000,40.04782,-105.24457
181,13199310,"7155 Rustic Trl, Boulder, CO 80301",7155 Rustic Trl,Boulder,80301,4,4,7500,4995000,40.05976,-105.18679
182,13180609,"348 Hollyberry Lane, Boulder, CO 80305",348 Hollyberry Lane,Boulder,80305,3,3,2268,1998500,39.98778,-105.27054
183,13224584,"1850 Folsom St UNIT 1106, Boulder, CO 80302",1850 Folsom St UNIT 1106,Boulder,80302,2,2,1357,695000,40.01946,-105.26235
184,13247678,"1417 Rembrandt Rd, Boulder, CO 80302",1417 Rembrandt Rd,Boulder,80302,3,4,5530,2900000,40.10281,-105.3159
185,59998800,"4680 White Rock Cir UNIT 8, Boulder, CO 80301",4680 White Rock Cir UNIT 8,Boulder,80301,2,2,887,390000,40.05905,-105.21305
186,13178131,"2385 Kenwood Dr, Boulder, CO 80305",2385 Kenwood Dr,Boulder,80305,7,5,5074,4875000,39.98814,-105.26382
187,13196452,"100 Canon Park, Boulder, CO 80302",100 Canon Park,Boulder,80302,2,2,1688,1250000,40.01255,-105.30428
188,13176988,"3063 7th St, Boulder, CO 80304",3063 7th St,Boulder,80304,4,4,4033,3495000,40.03041,-105.28828
189,13243194,"1430 Lodge Ln, Boulder, CO 80303",1430 Lodge Ln,Boulder,80303,5,4,4529,1950000,40.01144,-105.22617
190,13251403,"2727 Folsom St UNIT 340, Boulder, CO 80304",2727 Folsom St UNIT 340,Boulder,80304,1,1,435,299900,40.02747,-105.2632
191,13197377,"30 Ridge Rd, Boulder, CO 80303",30 Ridge Rd,Boulder,80303,4,5,5581,1889500,39.98744,-105.17001
192,13219940,"2201 Juniper Ct, Boulder, CO 80304",2201 Juniper Ct,Boulder,80304,4,4,3250,1495000,40.0375,-105.26768
193,13237885,"817 Racquet Ln, Boulder, CO 80303",817 Racquet Ln,Boulder,80303,4,4,3250,1375000,40.002,-105.22335
194,13176952,"820 6th St, Boulder, CO 80302",820 6th St,Boulder,80302,5,5,5043,5275000,40.00238,-105.28631
195,13241221,"5960 Gunbarrel Ave UNIT E, Boulder, CO 80301",5960 Gunbarrel Ave UNIT E,Boulder,80301,2,2,961,439700,40.061344,-105.21491
196,13181765,"205 Fair Place, Boulder, CO 80302",205 Fair Place,Boulder,80302,4,3,2472,1950000,39.995525,-105.26558
197,13198124,"7714 Baseline Rd, Boulder, CO 80303",7714 Baseline Rd,Boulder,80303,3,2,2034,1150000,39.99967,-105.16992
198,81879206,"155 Wildwood Ln, Boulder, CO 80304",155 Wildwood Ln,Boulder,80304,4,4,4655,3500000,40.05713,-105.31043
199,13211553,"2848 S Lakeridge Trl, Boulder, CO 80302",2848 S Lakeridge Trl,Boulder,80302,4,4,4240,2999900,40.13494,-105.28696
200,13215006,"4281 30th Street, Boulder, CO 80301",4281 30th Street,Boulder,80301,3,3,3564,1550000,40.052628,-105.25547
201,13219607,"845 Poplar Ave, Boulder, CO 80304",845 Poplar Ave,Boulder,80304,4,4,3719,1975000,40.04728,-105.28629
202,13183327,"485 College Ave, Boulder, CO 80302",485 College Ave,Boulder,80302,3,3,2446,2300000,40.00752,-105.28884
203,13178793,"2303 Bluff St, Boulder, CO 80304",2303 Bluff St,Boulder,80304,4,4,3108,3500000,40.02511,-105.26674
204,13259895,"4955 Twin Lakes Rd UNIT 56, Boulder, CO 80301",4955 Twin Lakes Rd UNIT 56,Boulder,80301,2,2,961,449000,40.06471,-105.19669
205,13191760,"124 Deer Trail Cir, Boulder, CO 80302",124 Deer Trail Cir,Boulder,80302,3,3,4144,1400000,40.08129,-105.35787
206,13217424,"1810 Grove St, Boulder, CO 80302",1810 Grove St,Boulder,80302,2,2,1302,1500000,40.01517,-105.27128
