address,addressZipcode,beds,baths,area,price,year,source
"3131 6TH ST , STUART, FL 34996",34996,4.0,2.0,2537.0,1600000,2018,bouldercounty
"466 MARINE ST , BOULDER, CO 80302",80302,4.0,3.0,2702.0,1790000,2018,bouldercounty
"2375 JASPER CT , BOULDER, CO 80304",80304,3.0,1.5,1248.0,725000,2018,bouldercounty
"5347 DEER CREEK CT , BOULDER, CO 80301",80301,4.0,3.0,3682.0,725000,2018,bouldercounty
"5435 INDIAN SUMMER CT , BOULDER, CO 80301",80301,4.0,3.0,3099.0,625000,2018,bouldercounty
"3301 ARAPAHOE AVE 323, DENVER, CO 80108",80108,1.0,1.5,1517.0,762400,2018,bouldercounty
"4279 MONROE DR B, BOULDER, CO 80303",80303,2.0,1.5,1056.0,420000,2018,bouldercounty
"2510 TAFT DR 303, BOULDER, CO 80302",80302,3.0,2.0,1165.0,211600,2018,bouldercounty
"4935 TWIN LAKES RD 32, BALTIMORE, MD 21228",21228,2.0,2.0,961.0,338000,2018,bouldercounty
"5472 WHITE PL , BOULDER, CO 80303",80303,3.0,1.5,1794.0,520000,2018,bouldercounty
"755 43RD ST , BOULDER, CO 80305-6013",80305-6013,3.0,2.5,1587.0,686700,2018,bouldercounty
"860 MOORHEAD CIR 2L, LOUISVILLE, CO 80027",80027,2.0,1.0,759.0,308500,2018,bouldercounty
"1345 GEORGETOWN RD , BOULDER, CO 80305",80305,3.0,2.0,1882.0,795000,2018,bouldercounty
"2707 VALMONT RD 111A, BOULDER, CO 80304",80304,2.0,1.0,792.0,237000,2018,bouldercounty
"714 18TH ST , LOS ALTOS, CA 94024",94024,6.0,2.0,2064.0,1150000,2018,bouldercounty
"3115 BROADWAY  , BOULDER, CO 80304-2643",80304-2643,2.0,1.0,1474.0,680000,2018,bouldercounty
"432 ARAPAHOE AVE , BOULDER, CO 80302",80302,2.0,1.0,913.0,901000,2018,bouldercounty
"2502 VINE PL , BOULDER, CO 80304-0992",80304-0992,4.0,2.5,2098.0,889000,2018,bouldercounty
"3260 47TH ST 210A, BOULDER, CO 80301",80301,2.0,2.0,1030.0,410000,2018,bouldercounty
"4230 EUTAW DR , BOULDER, CO 80303",80303,4.0,2.0,2514.0,794000,2018,bouldercounty
"500 MANHATTAN DR A11, BOULDER, CO 80304",80304,2.0,1.0,1112.0,370000,2018,bouldercounty
"805 UNION AVE , BOULDER, CO 80304",80304,3.0,1.0,1200.0,329000,2018,bouldercounty
"4895 TWIN LAKES RD 1, NIWOT, CO 80503",80503,2.0,2.0,961.0,324900,2018,bouldercounty
"5587 GLENDALE GULCH CIR , BOULDER, CO 80301-3538",80301-3538,3.0,3.0,2138.0,560000,2018,bouldercounty
"3401 ARAPAHOE AVE 401, SAN DIEGO, CA 92107",92107,2.0,1.5,1255.0,792800,2018,bouldercounty
"540 43RD ST , BOULDER, CO 80305",80305,4.0,2.0,1980.0,562500,2018,bouldercounty
"1013 ALBION WAY , BOULDER, CO 80305",80305,3.0,2.0,1863.0,16000,2018,bouldercounty
"1576 BRADLEY DR 101C, BRUSH, CO 80723",80723,2.0,1.0,840.0,325000,2018,bouldercounty
"6681 BEAN MOUNTAIN LN , BOULDER, CO 80301",80301,4.0,3.0,2048.0,640000,2018,bouldercounty
"3235 WRIGHT AVE , BOULDER, CO 80301",80301,5.0,2.5,2381.0,781500,2018,bouldercounty
"2530 28TH ST 118, BOULDER, CO 80301",80301,2.0,1.5,1294.0,721700,2018,bouldercounty
"2900 SHADOW CREEK DR 301, GREENWOOD VILLAGE, CO 80121",80121,2.0,2.0,966.0,395000,2018,bouldercounty
"275 41ST ST , BOULDER, CO 80305",80305,4.0,2.5,1544.0,633000,2018,bouldercounty
"1043 TERRACE CIR , BOULDER, CO 80304",80304,5.0,3.5,3564.0,1025000,2018,bouldercounty
"4895 6TH ST , BOULDER, CO 80304",80304,4.0,3.0,4117.0,1350000,2018,bouldercounty
"2200 NORWOOD AVE , BOULDER, CO 80304",80304,3.0,1.5,2136.0,1160000,2018,bouldercounty
"2765 LAFAYETTE DR , BOULDER, CO 80303",80303,3.0,3.0,2690.0,1600000,2018,bouldercounty
"1460 GREENBRIAR BLVD , BOULDER, CO 80303-7042",80303-7042,4.0,2.5,1983.0,540000,2018,bouldercounty
"1749 HAWTHORN PL , BOULDER, CO 80304",80304,4.0,2.0,2920.0,1085000,2018,bouldercounty
"4500 19TH ST 231, BOULDER, CO 80304",80304,0.0,0.0,0.0,68000,2018,bouldercounty
"5000 BUTTE ST 175, BOULDER, CO 80301",80301,0.0,0.0,0.0,90000,2018,bouldercounty
"1170 MONROE DR D, BOULDER, CO 80303",80303,2.0,1.0,968.0,399000,2018,bouldercounty
"2801 PENNSYLVANIA AVE 202, BOULDER, CO 80303",80303,2.0,2.0,2032.0,1039000,2018,bouldercounty
"5283 EUCLID AVE , BOULDER, CO 80303-2835",80303-2835,4.0,2.0,2556.0,970000,2018,bouldercounty
"625 MANHATTAN PL 107, BOULDER, CO 80303-4036",80303-4036,2.0,1.5,819.0,275000,2018,bouldercounty
"3401 ARAPAHOE AVE 420, SANTA ROSA, CA 95403",95403,1.0,0.5,990.0,663200,2018,bouldercounty
"60 SOUTH BOULDER CIR 6015, BOULDER, CO 80303-4287",80303-4287,2.0,1.5,864.0,285000,2018,bouldercounty
"2380 HILLSDALE WAY , BOULDER, CO 80303",80303,3.0,1.5,1472.0,755000,2018,bouldercounty
"2905 MOORHEAD AVE , BOULDER, CO 80305",80305,3.0,2.0,914.0,585000,2018,bouldercounty
"3120 14TH ST , BOULDER, CO 80304-2612",80304-2612,5.0,4.0,4837.0,1875000,2018,bouldercounty
"1047 BALSAM AVE , BOULDER, CO 80304",80304,5.0,4.5,4245.0,1900000,2018,bouldercounty
"1850 IRIS AVE , BOULDER, CO 80304",80304,3.0,1.5,1630.0,705000,2018,bouldercounty
"5454 GLENDALE GULCH CIR , BOULDER, CO 80301",80301,3.0,2.5,1388.0,549000,2018,bouldercounty
"3601 ARAPAHOE AVE 304, BOULDER, CO 80303",80303,2.0,2.0,997.0,595000,2018,bouldercounty
"2113 WALNUT ST 7B, BOULDER, CO 80302",80302,2.0,0.5,946.0,582000,2018,bouldercounty
"1827 CANYON BLVD 1, BOULDER, CO 80302-5514",80302-5514,2.0,1.0,920.0,586900,2018,bouldercounty
"2170 HERMOSA DR , BOULDER, CO 80302",80302,3.0,1.5,1536.0,800000,2018,bouldercounty
"2160 JONATHAN PL , BOULDER, CO 80304-1911",80304-1911,3.0,2.5,3173.0,875000,2018,bouldercounty
"1761 YELLOW PINE AVE , BOULDER, CO 80304",80304,3.0,3.0,1683.0,729000,2018,bouldercounty
"1885 QUINCE AVE , BOULDER, CO 80304-1113",80304-1113,5.0,4.5,3745.0,1415000,2018,bouldercounty
"4602 16TH ST , BOULDER, CO 80304-2372",80304-2372,2.0,2.5,976.0,520000,2018,bouldercounty
"3130 EASTWOOD CT , VANCOUVER, WA 98682",98682,5.0,2.5,2161.0,619000,2018,bouldercounty
"3255 34TH ST 42, BOULDER, CO 80301",80301,2.0,1.0,930.0,350000,2018,bouldercounty
"3301 ARAPAHOE AVE 214, BOULDER, CO 80301",80301,2.0,2.0,1263.0,694000,2018,bouldercounty
"3301 ARAPAHOE AVE 430, HOOVER, AL 35226",35226,3.0,2.0,1662.0,1148700,2018,bouldercounty
"4415 LAGUNA PL 110, BOULDER, CO 80303",80303,2.0,2.0,1222.0,400000,2018,bouldercounty
"860 MOORHEAD CIR 2F, BOULDER, CO 80305",80305,2.0,1.5,759.0,330000,2018,bouldercounty
"1510 BLUEBELL AVE , BOULDER, CO 80302",80302,4.0,4.0,3204.0,1535000,2018,bouldercounty
"1557 NORTH ST , BOULDER, CO 80304-3513",80304-3513,2.0,1.5,1440.0,825000,2018,bouldercounty
"1439 NORTH ST , BOULDER, CO 80304",80304,4.0,2.0,2904.0,1380000,2018,bouldercounty
